2026-06-15 14:56:46.939690: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-06-15 14:56:47.033053: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
tb_monitor -> tb/sweep | total=1080 | every 30s
[ 112.6 min]  477/1080 (44.2%)  rate= 4.4/min  eta=137.0 min  workers=30
[ 113.1 min]  478/1080 (44.3%)  rate= 4.4/min  eta=136.8 min  workers=30
[ 113.6 min]  480/1080 (44.4%)  rate= 4.0/min  eta=151.5 min  workers=30
[ 114.1 min]  481/1080 (44.5%)  rate= 3.5/min  eta=170.1 min  workers=30
[ 114.6 min]  482/1080 (44.6%)  rate= 3.5/min  eta=169.8 min  workers=30
[ 115.1 min]  482/1080 (44.6%)  rate= 2.9/min  eta=209.0 min  workers=30
[ 115.6 min]  483/1080 (44.7%)  rate= 2.6/min  eta=226.1 min  workers=30
[ 116.1 min]  484/1080 (44.8%)  rate= 2.4/min  eta=246.2 min  workers=30
[ 116.6 min]  489/1080 (45.3%)  rate= 3.5/min  eta=167.8 min  workers=30
[ 117.1 min]  492/1080 (45.6%)  rate= 3.3/min  eta=178.1 min  workers=30
[ 117.6 min]  492/1080 (45.6%)  rate= 3.1/min  eta=190.9 min  workers=30
[ 118.2 min]  492/1080 (45.6%)  rate= 2.6/min  eta=222.7 min  workers=30
[ 118.7 min]  496/1080 (45.9%)  rate= 3.3/min  eta=176.9 min  workers=30
[ 119.2 min]  498/1080 (46.1%)  rate= 3.5/min  eta=165.3 min  workers=30
[ 119.7 min]  500/1080 (46.3%)  rate= 4.0/min  eta=146.4 min  workers=30
[ 120.2 min]  502/1080 (46.5%)  rate= 4.2/min  eta=138.2 min  workers=30
[ 120.7 min]  504/1080 (46.7%)  rate= 4.4/min  eta=130.9 min  workers=30
[ 121.2 min]  507/1080 (46.9%)  rate= 4.0/min  eta=144.7 min  workers=30
[ 121.7 min]  507/1080 (46.9%)  rate= 3.3/min  eta=173.6 min  workers=30
[ 122.2 min]  509/1080 (47.1%)  rate= 3.7/min  eta=152.6 min  workers=30
[ 122.7 min]  512/1080 (47.4%)  rate= 4.4/min  eta=129.0 min  workers=30
[ 123.2 min]  512/1080 (47.4%)  rate= 3.5/min  eta=161.3 min  workers=30
[ 123.7 min]  513/1080 (47.5%)  rate= 3.3/min  eta=171.7 min  workers=30
[ 124.2 min]  516/1080 (47.8%)  rate= 3.5/min  eta=160.1 min  workers=30
